cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
1113;Cultivo de cereais;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1121;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1130;Cultivo de cana-de-açúcar;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1148;Cultivo de fumo;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1156;Cultivo de soja;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1164;Cultivo de oleaginosas de lavoura temporária, exceto soja;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1211;Horticultura;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1229;Cultivo de flores e plantas ornamentais;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1318;Cultivo de laranja;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1326;Cultivo de uva;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1342;Cultivo de café;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1351;Cultivo de cacau;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1393;Cultivo de plantas de lavoura permanente não especificadas anteriormente;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1415;Produção de sementes certificadas;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1423;Produção de mudas e outras formas de propagação vegetal, certificadas;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1512;Criação de bovinos;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1521;Criação de outros animais de grande porte;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1539;Criação de caprinos e ovinos;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1547;Criação de suínos;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1555;Criação de aves;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1598;Criação de animais não especificados anteriormente;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1610;Atividades de apoio à agricultura;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1628;Atividades de apoio à pecuária;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1636;Atividades de pós-colheita;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
1709;Caça e serviços relacionados;1;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
2101;Produção florestal - florestas plantadas;2;PRODUÇÃO FLORESTAL
