cod_municipio,municipio,regiao_imediata,regiao_intermediaria
420005,Abdon Batista,Joaçaba - Herval d'Oeste,Chapecó
420010,Abelardo Luz,Xanxerê,Chapecó
420020,Agrolândia,Rio do Sul,Blumenau
420030,Agronômica,Rio do Sul,Blumenau
420040,Água Doce,Joaçaba - Herval d'Oeste,Chapecó
420050,Águas de Chapecó,Chapecó,Chapecó
420055,Águas Frias,Chapecó,Chapecó
420060,Águas Mornas,Florianópolis,Florianópolis
420070,Alfredo Wagner,Florianópolis,Florianópolis
420075,Alto Bela Vista,Concórdia,Chapecó
420080,Anchieta,São Miguel do Oeste,Chapecó
420090,Angelina,Florianópolis,Florianópolis
420100,Anita Garibaldi,Lages,Lages
420110,Anitápolis,Florianópolis,Florianópolis
420120,Antônio Carlos,Florianópolis,Florianópolis
420125,Apiúna,Blumenau,Blumenau
420127,Arabutã,Concórdia,Chapecó
420130,Araquari,Joinville,Joinville
420140,Araranguá,Araranguá,Criciúma
420150,Armazém,Tubarão,Criciúma
420160,Arroio Trinta,Videira,Caçador
420165,Arvoredo,Chapecó,Chapecó
420170,Ascurra,Blumenau,Blumenau
420180,Atalanta,Rio do Sul,Blumenau
420190,Aurora,Rio do Sul,Blumenau
420195,Balneário Arroio do Silva,Araranguá,Criciúma
420200,Balneário Camboriú,Itajaí,Blumenau
420205,Balneário Barra do Sul,Joinville,Joinville
420207,Balneário Gaivota,Araranguá,Criciúma
420208,Bandeirante,São Miguel do Oeste,Chapecó
420209,Barra Bonita,São Miguel do Oeste,Chapecó
420210,Barra Velha,Itajaí,Blumenau
420213,Bela Vista do Toldo,Mafra,Joinville
420215,Belmonte,São Miguel do Oeste,Chapecó
420220,Benedito Novo,Blumenau,Blumenau
420230,Biguaçu,Florianópolis,Florianópolis
420240,Blumenau,Blumenau,Blumenau
420243,Bocaina do Sul,Lages,Lages
420245,Bombinhas,Itajaí,Blumenau
420250,Bom Jardim da Serra,Lages,Lages
420253,Bom Jesus,Xanxerê,Chapecó
420257,Bom Jesus do Oeste,Maravilha,Chapecó
420260,Bom Retiro,Lages,Lages
420270,Botuverá,Brusque,Blumenau
420280,Braço do Norte,Tubarão,Criciúma
420285,Braço do Trombudo,Rio do Sul,Blumenau
420287,Brunópolis,Curitibanos,Lages
420290,Brusque,Brusque,Blumenau
420300,Caçador,Caçador,Caçador
420310,Caibi,Chapecó,Chapecó
420315,Calmon,Caçador,Caçador
420320,Camboriú,Itajaí,Blumenau
420325,Capão Alto,Lages,Lages
420330,Campo Alegre,São Bento do Sul - Rio Negrinho,Joinville
420340,Campo Belo do Sul,Lages,Lages
420350,Campo Erê,São Lourenço do Oeste,Chapecó
420360,Campos Novos,Joaçaba - Herval d'Oeste,Chapecó
420370,Canelinha,Brusque,Blumenau
420380,Canoinhas,Mafra,Joinville
420390,Capinzal,Joaçaba - Herval d'Oeste,Chapecó
420395,Capivari de Baixo,Tubarão,Criciúma
420400,Catanduvas,Joaçaba - Herval d'Oeste,Chapecó
420410,Caxambu do Sul,Chapecó,Chapecó
420415,Celso Ramos,Joaçaba - Herval d'Oeste,Chapecó
420417,Cerro Negro,Lages,Lages
420419,Chapadão do Lageado,Ituporanga,Blumenau
420420,Chapecó,Chapecó,Chapecó
420425,Cocal do Sul,Criciúma,Criciúma
420430,Concórdia,Concórdia,Chapecó
420435,Cordilheira Alta,Chapecó,Chapecó
